Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,Url,adultWeekdayPriceNote,adultWeekendPriceNote,fastEightNote,snowfallNote,yearOpenNote,daysOpenNote
Mount Pleasant of Edinboro,0,0,0,0,0,Pennsylvania,1540,340,1200,0,0,0,0,0,1,0,1,2,10,0,0.5,40,35,75,90,82.5,1,35,,,,48,100,30,33,http://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html,,,Check fast eight lift info.,,,
Roundtop Mountain Resort,1,0,0,1,0,Pennsylvania,1400,600,800,0,0,0,0,3,2,0,3,8,20,2,0.4,103,103,,99,99,1,100,,,,55,30,63,73,http://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html,,,,,,Check days info
Seven Springs,0,0,0,0,0,Pennsylvania,2994,750,2240,0,0,2,0,3,5,0,4,14,33,7,1.2,285,285,99,115,107,1,200,,,,87,135,67,87,http://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html,,,Check fast eight lift info.,,,
Shawnee Mountain Ski Area,0,0,0,0,0,Pennsylvania,1350,700,650,0,0,0,1,1,0,4,4,10,23,2,1.6,125,125,100,122,111,1,120,,,,44,50,55,65,http://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html,,,,,,
Ski Sawmill,0,0,0,0,0,Pennsylvania,2215,515,1700,0,0,0,0,0,1,1,3,5,14,1,0.1,15,13,,90,90,1,15,,,,50,24,30,44,http://www.onthesnow.com/pennsylvania/ski-sawmill/ski-resort.html,,,,,,Check days info
Montage Mountain,0,0,0,0,0,Pennsylvania,1960,1000,960,0,0,0,0,1,3,1,2,7,26,1,1.2,140,140,60,90,75,1,140,,,,35,47,30,67,http://www.onthesnow.com/pennsylvania/sno-mountain/ski-resort.html,,Check adult weekday price info.,Check fast eight lift info.,,,
Spring Mountain Ski Area,0,0,0,0,0,Pennsylvania,528,450,78,0,0,0,0,0,1,3,2,6,9,1,0.2,45,45,100,100,100,1,45,,,,56,20,38,48,http://www.onthesnow.com/pennsylvania/spring-mountain-ski-area/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Tussey Mountain,0,0,0,0,0,Pennsylvania,1750,520,1230,0,0,0,0,1,0,1,3,5,8,1,0.3,38,30,100,100,100,1,30,,,,39,41,40,45,http://www.onthesnow.com/pennsylvania/tussey-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Whitetail Resort,1,0,0,1,0,Pennsylvania,1800,935,865,0,0,0,1,3,0,2,2,8,23,2,1,120,120,116,100,108,1,120,,,,28,40,69,71,http://www.onthesnow.com/pennsylvania/whitetail-resort/ski-resort.html,,,Check fast eight lift info.,,,
Yawgoo Valley,1,0,0,1,0,Rhode Island,315,245,70,0,0,0,0,0,0,2,2,4,13,1,0.2,30,30,100,100,100,1,30,,,,54,40,,,http://www.onthesnow.com/rhode-island/yawgoo-valley/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Deer Mountain Ski Resort,0,0,0,0,1,South Dakota,6850,940,6040,0,0,0,0,0,1,1,2,4,63,2,1.6,500,50,69,81,75,0,,,,,51,200,45,45,http://www.onthesnow.com/south-dakota/ski-mystic-at-deer-mountain/ski-resort.html,,,,,,
Terry Peak Ski Area,0,0,0,0,0,South Dakota,7100,1100,5900,0,0,0,3,0,1,0,1,5,30,1,1.2,450,225,114,120,117,0,,,,,65,150,58,58,http://www.onthesnow.com/south-dakota/terry-peak-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Ober Gatlinburg Ski Resort,0,0,0,0,0,Tennessee,3300,600,2700,0,0,0,0,2,0,1,1,4,10,1,1,,0,83,94,88.5,0,,,,,44,35,36,65,http://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html,,,Check fast eight lift info.,,,
Alta Ski Area,1,1,0,1,1,Utah,11068,2538,8530,0,0,0,3,0,1,2,0,6,116,0,1.3,2614,140,150,140,145,0,,,,,81,545,116,116,http://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,,,,,,
Beaver Mountain,0,0,0,0,0,Utah,8600,1600,7232,0,0,0,0,0,1,3,1,5,48,2,0.8,464,0,120,120,120,0,,,,,81,400,50,50,http://www.onthesnow.com/utah/beaver-mountain/ski-resort.html,,,,,,
Brian Head Resort,0,0,0,0,0,Utah,10970,1548,9600,0,0,0,1,0,6,1,0,8,71,2,0.6,650,216,149,148,148.5,0,,,,,54,360,42,59,http://www.onthesnow.com/utah/brian-head-resort/ski-resort.html,,,,,,
Brighton Resort,1,1,0,0,1,Utah,10500,1745,8755,0,0,0,3,1,1,0,2,7,66,4,1.2,1050,200,138,138,138,1,200,,,,83,500,85,85,http://www.onthesnow.com/utah/brighton-resort/ski-resort.html,,,Check fast eight lift info.,,,
Deer Valley Resort,1,1,0,0,0,Utah,9570,3000,6570,1,0,0,13,0,5,2,0,21,103,0,2.8,2026,660,,120,120,0,,,,,39,300,169,169,http://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,,,,,,Check days info
Eagle Point,0,0,0,0,0,Utah,10600,1500,9100,0,0,0,0,1,1,2,1,5,40,1,0.9,650,0,,109,109,0,,,,,9,400,45,60,http://www.onthesnow.com/utah/eagle-point/ski-resort.html,,,,,,Check days info
Park City,1,0,1,0,1,Utah,10000,3200,6800,4,0,6,10,4,7,4,6,41,341,8,3.5,7300,750,142,143,142.5,0,,,,,56,355,169,169,http://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Powder Mountain,0,0,0,0,1,Utah,9422,2522,6900,0,0,0,1,4,1,0,3,9,167,2,3.5,8464,0,120,146,133,1,300,,,,47,500,88,88,http://www.onthesnow.com/utah/powder-mountain/ski-resort.html,,,,,,
Snowbasin,1,0,0,1,0,Utah,9350,2900,6450,3,0,1,2,0,3,0,2,11,107,4,3.5,3000,625,143,138,140.5,0,,28.6,,24.9,79,300,115,115,http://www.onthesnow.com/utah/snowbasin/ski-resort.html,,,,,,
Snowbird,1,1,0,1,1,Utah,11000,3240,7760,1,0,0,6,0,0,4,3,14,170,1,2.5,2500,0,188,180,184,1,2,,,,48,500,125,125,http://www.onthesnow.com/utah/snowbird/ski-resort.html,,,,,,
Solitude Mountain Resort,1,1,0,0,1,Utah,10488,2494,7994,0,0,0,4,2,1,1,1,9,80,0,3,1200,150,161,148,154.5,0,,,,,62,500,109,119,http://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort.html,,,,,,
Sundance,0,0,0,0,0,Utah,8250,2150,6100,0,0,0,0,2,2,0,1,5,45,1,0.6,450,112,128,129,128.5,0,,,,,50,320,80,80,http://www.onthesnow.com/utah/sundance/ski-resort.html,,,Check fast eight lift info.,,,
Nordic Valley Resort,1,0,0,1,0,Utah,6400,960,5440,0,0,0,0,0,0,2,2,4,23,1,0.4,140,84,105,105,105,1,140,,0.5,0.5,51,300,45,50,http://www.onthesnow.com/utah/wolf-creek/ski-resort.html,,,,,,
Bolton Valley,1,0,0,1,0,Vermont,3150,1704,1446,0,0,0,0,2,0,3,1,6,71,3,0.6,300,90,133,132,132.5,1,50,18.6,,,53,300,69,79,http://www.onthesnow.com/vermont/bolton-valley/ski-resort.html,,,,,,
Bromley Mountain,0,0,0,0,0,Vermont,3284,1334,1950,0,0,0,1,1,0,4,3,9,47,1,2.5,178,153,,152,152,0,,,,,83,168,87,91,http://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Burke Mountain,0,0,0,0,0,Vermont,3267,2011,1210,0,0,0,2,1,0,0,3,6,50,3,2.2,178,125,110,125,117.5,0,,,,,62,217,73,73,http://www.onthesnow.com/vermont/burke-mountain/ski-resort.html,,,,,,
Jay Peak,0,0,0,0,1,Vermont,3968,2153,1815,1,0,0,1,3,1,1,2,9,79,2,3,385,300,155,160,157.5,0,,,,,64,349,89,89,http://www.onthesnow.com/vermont/jay-peak/ski-resort.html,,,,,,
Killington Resort,1,1,0,0,0,Vermont,4241,3050,1165,3,0,1,5,4,3,1,5,22,155,6,6,1515,600,192,,192,0,,,,,61,250,119,119,http://www.onthesnow.com/vermont/killington-resort/ski-resort.html,,,,,,Check days info
Mad River Glen,0,0,0,0,1,Vermont,3637,2037,1600,0,0,0,0,0,2,2,1,5,52,0,1,115,16,134,135,134.5,0,,,,,71,228,89,89,http://www.onthesnow.com/vermont/mad-river-glen/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Magic Mountain,1,0,0,1,1,Vermont,2850,1500,1350,0,0,0,0,0,0,3,3,6,50,1,1.6,205,95,76,80,78,0,,,,9.3,59,150,74,74,http://www.onthesnow.com/vermont/magic-mountain/ski-resort.html,,,,,,
Mount Snow,1,0,0,1,0,Vermont,3600,1700,1900,0,0,1,3,1,6,4,5,20,86,10,3,600,480,135,135,135,0,,,,,65,156,75,75,http://www.onthesnow.com/vermont/mount-snow/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Okemo Mountain Resort,1,0,1,0,1,Vermont,3344,2200,1144,0,0,1,4,5,3,0,7,20,121,9,4,667,654,146,152,149,0,,,,,63,200,115,115,http://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Pico Mountain ,1,1,0,0,0,Vermont,3967,1967,2000,0,0,0,2,0,2,2,1,7,59,1,4,260,156,,115,115,0,,,,,82,250,81,81,http://www.onthesnow.com/vermont/pico-mountain-at-killington/ski-resort.html,,,,,,Check days info
Smugglers' Notch Resort,0,0,0,0,0,Vermont,3640,2610,1030,0,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,135,135.5,0,,,,,63,280,79,79,http://www.onthesnow.com/vermont/smugglers-notch-resort/ski-resort.html,,,,,,
Stowe Mountain Resort,1,0,1,0,0,Vermont,4395,2360,2035,2,0,0,0,4,2,2,2,12,116,0,3.7,485,388,155,137,146,0,,,,,86,314,134,134,http://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Stratton Mountain,1,1,0,0,0,Vermont,3875,2003,1872,1,0,4,1,2,1,1,1,11,99,4,3,670,474,155,160,157.5,0,,,,,58,180,125,125,http://www.onthesnow.com/vermont/stratton-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Sugarbush,1,1,0,1,0,Vermont,4083,2600,1483,0,0,0,5,5,2,1,3,16,111,4,3,581,406,150,156,153,0,,,,,61,250,119,119,http://www.onthesnow.com/vermont/sugarbush/ski-resort.html,,,,,,
Suicide Six,0,0,0,0,0,Vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100,50,100,106,103,0,,,,,85,90,45,75,http://www.onthesnow.com/vermont/suicide-six/ski-resort.html,,,Check fast eight lift info.,,,
Bryce Resort,0,0,0,0,0,Virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25,25,100,95,97.5,1,20,,,,54,30,43,68,http://www.onthesnow.com/virginia/bryce-resort/ski-resort.html,,,Check fast eight lift info.,,,
Massanutten,0,0,0,0,0,Virginia,2925,1110,1750,0,0,0,0,3,1,0,3,7,13,2,0.8,70,70,68,97,82.5,1,70,,,,46,35,,,http://www.onthesnow.com/virginia/massanutten/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
The Homestead Ski Area,0,0,0,0,0,Virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1,45,100,91,100,95.5,0,,,,,60,50,,,http://www.onthesnow.com/virginia/the-homestead-ski-area/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Wintergreen Resort,0,0,0,0,0,Virginia,3515,1003,2512,0,0,2,0,1,1,1,0,5,27,2,1,129,129,107,121,114,1,45,,,,44,34,59,89,http://www.onthesnow.com/virginia/wintergreen-resort/ski-resort.html,,Check adult weekday price info.,Check fast eight lift info.,,,
49 Degrees North,0,0,0,0,0,Washington,5774,1851,3932,0,0,0,0,1,0,5,1,7,89,1,2,2325,0,101,135,118,1,250,,,,48,301,62,62,http://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,,,,,,
Alpental,0,0,0,0,0,Washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825,0,120,144,132,1,121,,,,52,428,,,http://www.onthesnow.com/washington/alpental/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Bluewood,0,0,0,0,0,Washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2,355,0,70,110,90,0,,,,,40,300,42,47,http://www.onthesnow.com/washington/bluewood/ski-resort.html,,,,,,
Crystal Mountain,1,1,0,0,1,Washington,7012,3100,4400,1,0,2,2,1,2,2,0,10,57,1,2.5,2600,10,,149,149,0,,,,,57,486,99,99,http://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Mission Ridge,0,0,0,0,0,Washington,6820,2250,4570,0,0,0,1,0,0,3,2,6,53,3,0.8,2000,66,104,96,100,1,500,,,,53,200,74,74,http://www.onthesnow.com/washington/mission-ridge/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Mt. Baker,0,0,0,0,0,Washington,5000,1500,3500,0,0,0,0,8,0,0,2,10,38,0,0.7,1000,0,143,165,154,0,,,,,66,663,53.75,60.01,http://www.onthesnow.com/washington/mt-baker/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Spokane Ski and Snowboard Park,0,0,0,0,0,Washington,5889,2000,4200,0,0,0,0,0,1,5,1,7,52,3,0.6,1704,0,100,103,101.5,1,45,,,,81,300,45,59,http://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html,,,,,,
Stevens Pass Resort,1,0,1,1,0,Washington,5845,1800,4061,0,0,0,3,0,4,3,0,10,52,4,1,1125,0,116,145,130.5,1,450,,,,82,460,84,84,http://www.onthesnow.com/washington/stevens-pass-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
The Summit at Snoqualmie,1,1,0,0,0,Washington,3865,1025,2840,0,0,0,3,3,4,10,7,27,112,5,0.8,1994,5,120,140,130,1,541,,,,82,428,85,95,http://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort.html,,,Check fast eight lift info.,,,
White Pass,0,0,0,0,0,Washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,144,146,1,90,,1.9,0.2,67,400,69,69,http://www.onthesnow.com/washington/white-pass/ski-resort.html,,,Check fast eight lift info.,,,
Canaan Valley Resort,0,0,0,0,0,West Virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95,75,,93,93,0,,,,,48,160,52,68,http://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Snowshoe Mountain Resort,1,1,0,0,0,West Virginia,4848,1500,3348,0,0,0,3,2,6,0,3,14,60,5,1.5,257,257,125,138,131.5,1,86,,,,46,180,70,87,http://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort.html,,,Check fast eight lift info.,,,
Timberline Four Seasons,0,0,0,0,0,West Virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2,100,100,97,115,106,1,27,,,,37,150,72,92,http://www.onthesnow.com/west-virginia/timberline-four-seasons/ski-resort.html,,,Check fast eight lift info.,,,
Winterplace Ski Resort,0,0,0,0,0,West Virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,120,120,1,74,,,,36,100,56,72,http://www.onthesnow.com/west-virginia/winterplace-ski-resort/ski-resort.html,,,Check fast eight lift info.,,,
Alpine Valley Resort,0,0,0,0,0,Wisconsin,1040,388,820,0,0,0,3,0,3,1,5,12,21,3,0.2,90,90,100,120,110,1,90,,,,55,80,56,65,http://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html,,,Check fast eight lift info.,,,
Bruce Mound,0,0,0,0,0,Wisconsin,1375,375,1000,0,0,0,0,0,1,0,4,5,12,2,0.5,40,30,42,42,42,1,30,0.9,,,71,42,33,25,http://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html,,,,,,
Cascade Mountain,0,0,0,0,0,Wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,120,120,0,,,,,57,56,59,64,http://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Christie Mountain,0,0,0,0,0,Wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,120,106,1,35,,,,43,48,28,38,http://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Christmas Mountain,0,0,0,0,0,Wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40,40,75,70,72.5,1,40,,,,50,20,,,http://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Devils Head,0,0,0,0,0,Wisconsin,995,500,495,0,0,0,0,3,1,6,2,12,27,1,1,260,260,110,135,122.5,1,200,,,,48,45,45,65,http://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,,,Check fast eight lift info.,,,
Grand Geneva,0,0,0,0,0,Wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,93,91.5,1,30,,,,25,25,28,49,http://www.onthesnow.com/wisconsin/grand-geneva/ski-resort.html,,,Check fast eight lift info.,,,
Granite Peak Ski Area,0,0,0,0,0,Wisconsin,1942,700,1242,0,0,1,2,0,2,0,2,7,75,4,0.6,220,160,136,135,135.5,1,200,,,,82,75,92,92,http://www.onthesnow.com/wisconsin/granite-peak-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Little Switzerland,0,0,0,0,0,Wisconsin,1269,200,1069,0,0,0,0,0,0,4,4,8,18,3,1,50,50,,121,121,1,50,,,,,,33,41,http://www.onthesnow.com/wisconsin/little-switzerland/ski-resort.html,,,,Check snowfall info.,Check year open info,Check days info
Mount La Crosse,0,0,0,0,0,Wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,100,107.5,1,90,,,,60,40,56,56,http://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html,,,Check fast eight lift info.,,,
Nordic Mountain,0,0,0,0,0,Wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1,60,60,68,90,79,1,60,,,,43,80,47,47,http://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html,Check adult weekday price info.,,Check fast eight lift info.,,,
Sunburst,0,0,0,0,0,Wisconsin,1100,214,866,0,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,115,107,1,37,,,,59,50,33,44,http://www.onthesnow.com/wisconsin/sunburst/ski-resort.html,,,,,,
Trollhaugen,0,0,0,0,0,Wisconsin,1200,260,920,0,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,120,125,1,86,,,,69,50,54,54,http://www.onthesnow.com/wisconsin/trollhaugen/ski-resort.html,,,,,,
Tyrol Basin,0,0,0,0,0,Wisconsin,1160,300,860,0,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,103,107.5,1,32,,,,61,41,17,48,http://www.onthesnow.com/wisconsin/tyrol-basin/ski-resort.html,,,,,,
Whitecap Mountain,0,0,0,0,0,Wisconsin,1750,400,1295,0,0,0,0,1,0,4,0,5,43,1,1,400,300,105,118,111.5,0,,,,,57,200,60,60,http://www.onthesnow.com/wisconsin/whitecap-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Wilmot Mountain,1,0,1,0,0,Wisconsin,1030,230,800,0,0,0,0,3,2,2,3,10,23,2,0.5,135,135,125,139,132,1,135,,,,81,70,56,66,http://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Grand Targhee Resort,0,0,0,0,1,Wyoming,9920,2270,7851,0,0,0,2,2,0,0,1,5,95,1,2.7,2602,0,152,152,152,0,,,,,50,500,90,90,http://www.onthesnow.com/wyoming/grand-targhee-resort/ski-resort.html,,,,,,
Hogadon Basin,0,0,0,0,0,Wyoming,8000,640,7400,0,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,95,108,0,,,,,61,80,48,48,http://www.onthesnow.com/wyoming/hogadon/ski-resort.html,,,Check fast eight lift info.,,,
Jackson Hole,1,1,0,1,1,Wyoming,10450,4139,6311,3,0,0,4,4,1,2,1,15,130,6,4.5,2500,195,130,133,131.5,0,,,,,54,459,143,143,http://www.onthesnow.com/wyoming/jackson-hole/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Meadowlark Ski Lodge,0,0,0,0,0,Wyoming,9500,1000,8500,0,0,0,0,0,1,1,1,3,14,1,1.5,300,0,,113,113,0,,3.1,,,9,,48,48,http://www.onthesnow.com/wyoming/meadowlark-ski-lodge/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,Check snowfall info.,,Check days info
Sleeping Giant Ski Resort,0,0,0,0,0,Wyoming,7428,810,6619,0,0,0,0,0,1,1,1,3,48,1,1,184,18,61,77,69,0,,,,,81,310,42,42,http://www.onthesnow.com/wyoming/sleeping-giant-ski-resort/ski-resort.html,,,,,,
Snow King Resort,0,0,0,0,0,Wyoming,7808,1571,6237,0,0,0,0,1,1,1,0,3,32,2,1,400,250,121,123,122,1,110,,,,80,300,59,59,http://www.onthesnow.com/wyoming/snow-king-resort/ski-resort.html,,,Check fast eight lift info.,,,
Snowy Range Ski & Recreation Area,0,0,0,0,0,Wyoming,9663,990,8798,0,0,0,0,0,1,3,1,5,33,2,0.7,75,30,131,,131,0,,,,,59,250,49,49,http://www.onthesnow.com/wyoming/snowy-range-ski-recreation-area/ski-resort.html,,,,,,Check days info
White Pine Ski Area,0,0,0,0,0,Wyoming,9500,1100,8400,0,0,0,0,0,2,0,0,2,25,0,0.4,370,0,,122,122,0,,,,,81,150,49,49,http://www.onthesnow.com/wyoming/white-pine-ski-area/ski-resort.html,Check adult weekday price info.,,Check fast eight lift info.,,,Check days info
